id_pdc_local;statut_pdc;arrondissement;id_station_local;id_station_itinerance;nom_station;code_insee_commune;implantation_station;nbre_pdc;date_maj;condition_acces;adresse_station;coordonneesxy;gratuit;paiement_acte;paiement_cb;paiement_autre;reservation;observations;num_pdl;siren_amenageur;contact_amenageur;nom_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;tarification;id_pdc_itinerance;date_mise_en_service;accessibilite_pmr;restriction_gabarit;station_deux_roues;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;prise_type_3;horaires;raccordement
FR*V75*EPX15*21*2;En service;15e Arrondissement;FR*V75*PPX15*21;FRV75PPX1521;Paris | Rue Jean Sicard 1;75115;Voirie;7;2024-07-01;Accès libre;1 Rue Jean Sicard 75015 Paris;48.8287, 2.2989;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7427206845253;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15212;2021-08-11T10:57:13+00:00;Non accessible;aucune restriction;True;3;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX15*21*6;En service;15e Arrondissement;FR*V75*PPX15*21;FRV75PPX1521;Paris | Rue Jean Sicard 1;75115;Voirie;7;2024-07-01;Accès libre;1 Rue Jean Sicard 75015 Paris;48.8287, 2.2989;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7427206845253;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15216;2021-08-11T10:57:31+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX19*07*1;En service;19e Arrondissement;FR*V75*PPX19*07;FRV75PPX1907;Paris |  Rue Botzaris 50;75119;Voirie;7;2024-07-01;Accès libre;50 Rue Botzaris 75019 Paris;48.8792, 2.3839;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7276555609012;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX19071;2021-08-26T13:53:40+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX19*07*7;En service;19e Arrondissement;FR*V75*PPX19*07;FRV75PPX1907;Paris |  Rue Botzaris 50;75119;Voirie;7;2024-07-01;Accès libre;50 Rue Botzaris 75019 Paris;48.8792, 2.3839;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7276555609012;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX19077;2021-08-26T13:54:51+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX15*27*1;En service;15e Arrondissement;FR*V75*PPX15*27;FRV75PPX1527;Paris | Rue Beaugrenelle 4;75115;Voirie;6;2024-07-01;Accès libre;4 Rue Beaugrenelle 75015 Paris;48.8479, 2.2847;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7437626527299;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15271;2021-09-01T07:55:40+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX15*27*2;En service;15e Arrondissement;FR*V75*PPX15*27;FRV75PPX1527;Paris | Rue Beaugrenelle 4;75115;Voirie;6;2024-07-01;Accès libre;4 Rue Beaugrenelle 75015 Paris;48.8479, 2.2847;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7437626527299;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15272;2021-09-01T07:56:08+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX16*15*6;En service;16e Arrondissement;FR*V75*PPX16*15;FRV75PPX1615;Paris | Boulevard Émile Augier 20;75116;Voirie;6;2024-07-01;Accès libre;20 Boulevard Émile Augier 75016 Paris;48.8603, 2.274;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7467293676602;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16156;2021-09-14T14:06:12+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX16*18*6;En service;16e Arrondissement;FR*V75*PPX16*18;FRV75PPX1618;Paris | Boulevard Murat 157;75116;Voirie;6;2024-07-01;Accès libre;157 Boulevard Murat 75016 Paris;48.8379, 2.2628;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7457163429831;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16186;2021-09-07T10:21:46+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX16*20*2;En service;16e Arrondissement;FR*V75*PPX16*20;FRV75PPX1620;Paris | Avenue Henri Martin 70;75116;Voirie;6;2024-07-01;Accès libre;70 Avenue Henri Martin 75016 Paris;48.8646, 2.2754;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7405065021761;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16202;2021-09-07T10:26:28+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
FR*V75*EPX17*11*6;En service;17e Arrondissement;FR*V75*PPX17*11;FRV75PPX1711;Paris | Rue de Courcelles 210;75117;Voirie;6;2024-07-01;Accès libre;210 Rue de Courcelles 75017 Paris;48.8867, 2.2955;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7549203954828;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX17116;2021-09-14T13:54:27+00:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;Direct
